,type,KD,KD_trade,mean
0,光電業,139.2,5616,0.024786324786324785
1,其他,70.80999999999999,5290,0.013385633270321358
2,其他電子業,73.45000000000002,3783,0.01941580756013746
3,化學工業,28.619999999999994,2004,0.0142814371257485
4,半導體業,209.09000000000003,7006,0.029844419069369115
5,塑膠工業,18.169999999999998,1239,0.01466505246166263
6,建材營造,58.23999999999999,3632,0.016035242290748895
7,文化創意業,30.549999999999997,1178,0.02593378607809847
8,橡膠工業,6.130000000000001,566,0.010830388692579507
9,水泥工業,5.75,350,0.016428571428571428
10,汽車工業,18.290000000000003,1442,0.012683772538141472
11,油電燃氣業,4.7,575,0.00817391304347826
12,玻璃陶瓷,2.2399999999999998,241,0.00929460580912863
13,生技醫療業,96.68,5397,0.01791365573466741
14,紡織纖維,40.49,2529,0.01601028074337683
15,航運業,22.060000000000002,1345,0.016401486988847587
16,觀光事業,19.859999999999996,1741,0.01140723721998851
17,貿易百貨,19.23,1665,0.01154954954954955
18,資訊服務業,31.569999999999997,1607,0.019645301804604852
19,農業科技,3.41,150,0.022733333333333335
20,通信網路業,84.16000000000001,3954,0.021284774911482045
21,造紙工業,6.309999999999999,336,0.0187797619047619
22,金融保險業,16.98,1653,0.010272232304900182
23,金融業,4.45,417,0.010671462829736212
24,鋼鐵工業,27.84,2143,0.012991133924405039
25,電器電纜,15.969999999999999,769,0.020767230169050712
26,電子商務,4.2,287,0.014634146341463415
27,電子通路業,27.3,1663,0.0164161154539988
28,電子零組件業,234.50999999999996,9731,0.024099270373034627
29,電機機械,66.69000000000001,4015,0.01661021170610212
30,電腦及週邊設備業,107.35999999999999,5063,0.02120481927710843
31,食品工業,14.219999999999997,1348,0.010548961424332343
